prefecture,city,district,number,address,name,lat,long,note
千葉県,市川市,千葉5区,58-2,富浜1丁目1-40行徳小学校／行徳バイパス側,富浜1丁目1-40行徳小学校／行徳バイパス側,35.692538,139.923298,
千葉県,市川市,千葉5区,58-3,妙典3丁目6春日神社,妙典3丁目6春日神社,35.6955452,139.9241486,
千葉県,市川市,千葉5区,58-4,妙典3丁目25ひだまり公園／南側,妙典3丁目25ひだまり公園／南側,35.6943872,139.9276517,
千葉県,市川市,千葉5区,58-5,妙典4丁目4-1地先地下鉄妙典駅ロータリー,妙典4丁目4-1地先地下鉄妙典駅ロータリー,35.6923819,139.9264599,
千葉県,市川市,千葉5区,58-6,富浜1丁目7白妙公園／東側,富浜1丁目7白妙公園／東側,35.6908515,139.9247976,
千葉県,市川市,千葉5区,58-7,富浜2丁目5-19行徳地域ふれあい館,富浜2丁目5-19行徳地域ふれあい館,35.6888436,139.9216945,
千葉県,市川市,千葉5区,58-8,富浜2丁目15すいせん公園,富浜2丁目15すいせん公園,35.6877173,139.9245487,
千葉県,市川市,千葉5区,58-9,富浜1丁目7白妙公園／北側,富浜1丁目7白妙公園／北側,35.6908515,139.9247976,
千葉県,市川市,千葉5区,59-1,妙典5丁目22-1妙典中学校／正門,妙典5丁目22-1妙典中学校／正門,35.688277,139.933352,
千葉県,市川市,千葉5区,59-2,妙典5丁目22-1妙典中学校／西側,妙典5丁目22-1妙典中学校／西側,35.688277,139.933352,
千葉県,市川市,千葉5区,59-3,妙典5丁目22-1妙典中学校／体育館入口,妙典5丁目22-1妙典中学校／体育館入口,35.688277,139.933352,
千葉県,市川市,千葉5区,59-4,妙典5丁目12小宮山公園／西側,妙典5丁目12小宮山公園／西側,35.6908369,139.9313512,
千葉県,市川市,千葉5区,59-5,妙典5丁目12小宮山公園／南側,妙典5丁目12小宮山公園／南側,35.6908369,139.9313512,
千葉県,市川市,千葉5区,59-6,塩焼1丁目14塩の花公園／西側,塩焼1丁目14塩の花公園／西側,35.6882111,139.928832,
千葉県,市川市,千葉5区,59-7,塩焼1丁目14塩の花公園／北側,塩焼1丁目14塩の花公園／北側,35.6882111,139.928832,
千葉県,市川市,千葉5区,59-8,妙典6丁目15小宮山第2公園／西側,妙典6丁目15小宮山第2公園／西側,35.6915954,139.9323283,
千葉県,市川市,千葉5区,59-9,下妙典861-5ぴあぱーく妙典,下妙典861-5ぴあぱーく妙典,35.6865889,139.9386123,
千葉県,市川市,千葉5区,60-1,塩焼5丁目9-8塩焼小学校/南側,塩焼5丁目9-8塩焼小学校/南側,35.6838887,139.9299862,
千葉県,市川市,千葉5区,60-2,塩焼5丁目9-8塩焼小学校/東側,塩焼5丁目9-8塩焼小学校/東側,35.6838887,139.9299862,
千葉県,市川市,千葉5区,60-3,塩焼5丁目9-1塩焼幼稚園,塩焼5丁目9-1塩焼幼稚園,35.6848623,139.9296818,
千葉県,市川市,千葉5区,60-4,塩焼5丁目6塩焼中央公園/西側,塩焼5丁目6塩焼中央公園/西側,35.68504860000001,139.92898,
千葉県,市川市,千葉5区,60-5,塩焼5丁目6塩焼中央公園/東側,塩焼5丁目6塩焼中央公園/東側,35.68504860000001,139.92898,
千葉県,市川市,千葉5区,60-6,塩焼4丁目10モッコク公園,塩焼4丁目10モッコク公園,35.6861553,139.9313432,
千葉県,市川市,千葉5区,60-7,塩焼4丁目4新場山公園,塩焼4丁目4新場山公園,35.6873982,139.9321033,
千葉県,市川市,千葉5区,60-8,塩焼4丁目2からたち公園,塩焼4丁目2からたち公園,35.6877533,139.9315977,
千葉県,市川市,千葉5区,60-9,塩焼5丁目6塩焼中央公園/北側,塩焼5丁目6塩焼中央公園/北側,35.68504860000001,139.92898,
千葉県,市川市,千葉5区,61-1,幸1丁目11-1幸小学校/正門,幸1丁目11-1幸小学校/正門,35.6813058,139.9298295,
千葉県,市川市,千葉5区,61-2,幸1丁目11-1幸小学校/裏門,幸1丁目11-1幸小学校/裏門,35.6813058,139.9298295,
千葉県,市川市,千葉5区,61-3,幸1丁目1幸中央公園,幸1丁目1幸中央公園,35.6825757,139.9293063,
千葉県,市川市,千葉5区,61-4,幸1丁目22幸1丁目児童遊園地,幸1丁目22幸1丁目児童遊園地,35.6796453,139.9294816,
千葉県,市川市,千葉5区,61-5,幸2丁目4行徳南部公園/北側,幸2丁目4行徳南部公園/北側,35.6788614,139.9283013,
千葉県,市川市,千葉5区,61-6,幸2丁目11やまもも公園,幸2丁目11やまもも公園,35.67862179999999,139.9253153,
千葉県,市川市,千葉5区,61-7,宝2丁目8八幡前公園,宝2丁目8八幡前公園,35.6808547,139.9240894,
千葉県,市川市,千葉5区,61-8,宝1丁目7下道公園,宝1丁目7下道公園,35.6831127,139.9269248,
千葉県,市川市,千葉5区,61-9,幸2丁目4行徳南部公園/南側,幸2丁目4行徳南部公園/南側,35.6788614,139.9283013,
千葉県,市川市,千葉5区,62-1,塩焼3丁目11-15塩焼第二保育園,塩焼3丁目11-15塩焼第二保育園,35.685353,139.924587,
千葉県,市川市,千葉5区,62-2,塩焼3丁目14みこし公園,塩焼3丁目14みこし公園,35.6850138,139.9243116,
千葉県,市川市,千葉5区,62-3,塩焼3丁目21-12東電塩焼変電所,塩焼3丁目21-12東電塩焼変電所,35.6833738,139.9250355,
千葉県,市川市,千葉5区,62-4,塩焼2丁目12浜道公園/西側,塩焼2丁目12浜道公園/西側,35.6867269,139.9271026,
千葉県,市川市,千葉5区,62-5,塩焼2丁目2-28塩焼保育園,塩焼2丁目2-28塩焼保育園,35.688291,139.9265,
千葉県,市川市,千葉5区,62-6,富浜3丁目10行徳中央公園/西側,富浜3丁目10行徳中央公園/西側,35.6871236,139.9219313,
千葉県,市川市,千葉5区,62-7,富浜3丁目10行徳中央公園/東側,富浜3丁目10行徳中央公園/東側,35.6871236,139.9219313,
千葉県,市川市,千葉5区,62-8,富浜3丁目10行徳中央公園/北側,富浜3丁目10行徳中央公園/北側,35.6871236,139.9219313,
千葉県,市川市,千葉5区,62-9,塩焼2丁目12浜道公園/東側,塩焼2丁目12浜道公園/東側,35.6867269,139.9271026,
千葉県,市川市,千葉5区,63-1,押切18押切公園／東側,押切18押切公園／東側,35.6862388,139.9151076,
千葉県,市川市,千葉5区,63-2,本塩28三町畑公園／西側,本塩28三町畑公園／西側,35.6891317,139.9186245,
千葉県,市川市,千葉5区,63-3,関ヶ島8-10徳蔵寺,関ヶ島8-10徳蔵寺,35.6889441,139.9153371,
千葉県,市川市,千葉5区,63-4,masked,masked,35.6903686,139.9145272,
千葉県,市川市,千葉5区,63-5,関ヶ島12-16アゼリアマンション前歩道,関ヶ島12-16アゼリアマンション前歩道,35.6889828,139.9176194,
千葉県,市川市,千葉5区,63-6,伊勢宿3地先旧江戸川歩道,伊勢宿3地先旧江戸川歩道,35.6884031,139.9130659,
千葉県,市川市,千葉5区,63-7,伊勢宿13行徳支所駐車場,伊勢宿13行徳支所駐車場,35.6872459,139.9153879,
千葉県,市川市,千葉5区,64-1,末広1丁目1-31行徳支所,末広1丁目1-31行徳支所,35.685886,139.9161034,
千葉県,市川市,千葉5区,64-2,末広1丁目1-48第七中学校,末広1丁目1-48第七中学校,35.6863911,139.9171498,
千葉県,市川市,千葉5区,64-3,行徳駅前1丁目18行徳第1駐輪場／北側,行徳駅前1丁目18行徳第1駐輪場／北側,35.6837602,139.9155653,
千葉県,市川市,千葉5区,64-4,行徳駅前1丁目18行徳第1駐輪場／南側,行徳駅前1丁目18行徳第1駐輪場／南側,35.6837602,139.9155653,
千葉県,市川市,千葉5区,64-5,行徳駅前1丁目15南根公園,行徳駅前1丁目15南根公園,35.68340260000001,139.9162606,
千葉県,市川市,千葉5区,64-6,行徳駅前3丁目4南沖公園／東側,行徳駅前3丁目4南沖公園／東側,35.6812415,139.9189963,
千葉県,市川市,千葉5区,64-7,末広2丁目6南場公園,末広2丁目6南場公園,35.6819668,139.9223829,
