prefecture,city,number,address,name,note,lat,long
福岡県,久留米市,,,南筑高校グランド北側入口左側フェンス,,33.31068381,130.5507501
福岡県,久留米市,,,久留米大学御井学舎東門右側バス停横フェンス,,33.30909169,130.5495286
福岡県,久留米市,,,九州沖縄農業研究センター久留米研究拠点入口左側フェンス,,33.30722079,130.546908
福岡県,久留米市,,,宗崎公民館北側ブロック塀,,33.29956868,130.55456
福岡県,久留米市,,,御井小学校西信号北西側ガードレール,,33.30731493,130.552589
福岡県,久留米市,,,高牟礼市民センター東側入口右側,,33.29695066,130.5493294
福岡県,久留米市,,,御井小学校東側裏門右側フェンス,,33.30707106,130.5552906
福岡県,久留米市,,,良山中学校南側入口右側フェンス,,33.30813592,130.5567012
福岡県,久留米市,,,金丸小学校北側正門左側,,33.30938259,130.5118516
福岡県,久留米市,,,金丸小学校南側裏門左側ブロック塀,,33.30862231,130.5121977
福岡県,久留米市,,,金丸公園北側入口右側,,33.30750313,130.5136578
福岡県,久留米市,,,聖マリア病院検査棟東側フェンス（旧２０９号沿病院前バス停横）,,33.30445039,130.5104813
福岡県,久留米市,,,ＮＴＴ久留米支店梅満ビル北側中央入口左側フェンス,,33.30746154,130.5103689
福岡県,久留米市,,,市営梅満アパート北側ブロック塀,,33.30910478,130.508533
福岡県,久留米市,,,小頭町公園東側入口右側,,33.31149811,130.5113361
福岡県,久留米市,,,小頭町公園南側,,33.31126777,130.5101843
福岡県,久留米市,,,花畑駅北側高架下芝生広場北側,,33.30701119,130.5160287
福岡県,久留米市,,,東畑公園東側,,33.30674817,130.5175773
福岡県,久留米市,,,西町公園東側入口左側フェンス,,33.30399472,130.518849
福岡県,久留米市,,,花畑公園西側入口右側フェンス,,33.30552301,130.516751
福岡県,久留米市,,,西鉄花畑駅南側駅前広場植込み,,33.3059069,130.5155859
福岡県,久留米市,,,花畑南信号南西側芝生,,33.30423116,130.5161097
福岡県,久留米市,,,今畑公園北側入口右側,,33.30518343,130.5133776
福岡県,久留米市,,,市営牟田山団地Ｎｏ．１棟北側右側,,33.290898,130.5239044
福岡県,久留米市,,,市営北牟田山団地Ｎｏ．１棟南側,,33.29154154,130.5263356
福岡県,久留米市,,,牟田山公園西側入口左側フェンス,,33.29235121,130.5251464
福岡県,久留米市,,,南町県営住宅１棟南側Ｔ字路前,,33.29334016,130.5247615
福岡県,久留米市,,,牟田山中学校東側自動車入口右側,,33.29544732,130.5254474
福岡県,久留米市,,,南小学校西側入口左側,,33.29608517,130.523538
福岡県,久留米市,,,南畑公園北側フェンス,,33.29607345,130.5214224
福岡県,久留米市,,,花杜公園東側フェンス,,33.29538266,130.5204047
福岡県,久留米市,,,市営十二軒屋団地東側みどり公園南側フェンス（バス停付近）,,33.29410272,130.5123064
福岡県,久留米市,,,市立久留米特別支援学校西側正門右側フェンス,,33.29228417,130.5127153
福岡県,久留米市,,,南校区コミュニティセンター南側駐車場入口左側,,33.29178629,130.5150869
福岡県,久留米市,,,市営暁住宅Ｎｏ．４棟南側フェンス,,33.29185464,130.5182196
福岡県,久留米市,,,市営暁住宅内児童遊園東側,,33.29266114,130.5188576
福岡県,久留米市,,,市営暁住宅Ｎｏ．３棟東側フェンス,,33.29226591,130.5195321
福岡県,久留米市,,,福教大附属久留米小学校北側フェンス,,33.29532167,130.5182032
福岡県,久留米市,,,久留米商業高校北側植込み（十二軒屋バス停付近）,,33.29406998,130.5126803
福岡県,久留米市,,,おこん川公園西側入口右側フェンス,,33.31130411,130.5045023
福岡県,久留米市,,,鳥飼小学校東側正門右側フェンス,,33.30781329,130.5023102
福岡県,久留米市,,,江南中学校西側入口左側フェンス,,33.30999405,130.5009186
