prefecture,city,district,number,address,name,lat,long
東京都,港区,東京7区,4-4,芝公園１−５−２５,港区役所前植込,35.6579983,139.7510479
東京都,港区,東京7区,4-5,芝公園２－７－２,アクアフィールド芝公園北側植込,35.6549078,139.750294
東京都,港区,東京7区,4-6,芝公園３−２−２５,みなと図書館左側芝公園4号地多目的広場前植込み,35.6598367,139.7495368
東京都,港区,東京7区,4-7,芝公園４−８,都営大江戸線芝公園駅Ａ４出入口北側都立芝公園内植込,35.6545754,139.7497348
東京都,港区,東京7区,5-1,海岸１−４,都立旧芝離宮恩賜庭園児童公園入口左側鉄柵,35.6562745,139.7580816
東京都,港区,東京7区,5-2,海岸１−２−１０,海岸通り交差点植込,35.6564265,139.7599446
東京都,港区,東京7区,5-3,海岸１－８－２５,都立芝商業高等学校正門右側の塀,35.6558384,139.7607482
東京都,港区,東京7区,5-4,東新橋１−１０−２０,イタリア公園西側植込,35.659172,139.7589565
東京都,港区,東京7区,5-5,東新橋１－10－20,イタリア公園東側植込み,35.6592766,139.7592087
東京都,港区,東京7区,5-6,海岸１−５−３７,区立浜崎公園,35.6535033,139.7575014
東京都,港区,東京7区,5-7,浜松町２−１３−３,浜松町四丁目児童遊園西側出口階段手前,35.6532948,139.754398
東京都,港区,東京7区,5-8,海岸１−４,都立旧芝離宮恩賜庭園南側鉄柵,35.6537464,139.7592189
東京都,港区,東京7区,6-1,芝１−８−２３,障害保健福祉センター前植込,35.6515098,139.7552442
東京都,港区,東京7区,6-2,芝４−１５,本芝公園北側トイレ前植込,35.6470253,139.7501152
東京都,港区,東京7区,6-3,芝浦１−１−１０,新浜公園北西側ブロック塀,35.652598,139.758094
東京都,港区,東京7区,6-4,芝浦１－６－６,東京電力（株）南浜橋変電所北側右寄り塀,35.6477966,139.7561103
東京都,港区,東京7区,6-5,海岸２−６−３６,日の出駅北側出口モノレール下歩道植込,35.6497829,139.7591765
東京都,港区,東京7区,6-6,芝浦１−２,末広橋北側道路鉄柵,35.6493689,139.7573006
東京都,港区,東京7区,6-7,海岸２−１−２７,末広橋児童遊園内北側植込,35.6491211,139.7580289
東京都,港区,東京7区,6-8,海岸２−６−２４,日の出駅南側出口モノレール下歩道植込,35.6489188,139.7587728
東京都,港区,東京7区,7-1,芝２−１２−３,芝新堀町児童遊園北東側植込,35.6516208,139.7530389
東京都,港区,東京7区,7-2,芝２−２１−３,芝小学校北東側門左側植込,35.6512485,139.7503611
東京都,港区,東京7区,7-3,芝２−２１−３,旧芝幼稚園正門右側給食室前塀,35.6506949,139.7498622
