No.,投票区名,ポスター掲示場設置施設名,ポスター掲示場の設置場所,備考,
28,第 5 投票区（関の内地区コミュニティ供用施設）,関の内地区コミュニティ供用施設フェンス,東松島市矢本字関の内５５番地５,,
29,第 5 投票区（関の内地区コミュニティ供用施設）,旧加藤医院ブロック塀,東松島市矢本字関の内４１番地,,
30,第 6 投票区（鹿妻地区コミュニティ供用施設）,住宅ブロック塀             ,東松島市矢本字太子前８４番地２,,
31,第 6 投票区（鹿妻地区コミュニティ供用施設）,住宅ブロック塀             ,東松島市矢本字穴尻８番地,,
32,第 6 投票区（鹿妻地区コミュニティ供用施設）,住宅東側市道フェンス         ,東松島市矢本字蛭坪２１６番地先,,
33,第 6 投票区（鹿妻地区コミュニティ供用施設）,鹿妻地区コミュニティ供用施設フェンス,東松島市矢本字鹿石前１１６番地１,,
34,第 7 投票区（小松地区コミュニティ供用施設）,住宅前県道脇空地,東松島市小松字明神下５２番地１,,
35,第 7 投票区（小松地区コミュニティ供用施設）,小松地区コミュニティ供用施設向フェンス,東松島市小松字沢田前５５番地１先,,
36,第 7 投票区（小松地区コミュニティ供用施設）,住宅前県道ガードパイプ,東松島市小松字上前柳１６番地１先,,
37,第 7 投票区（小松地区コミュニティ供用施設）,住宅ブロック塀,東松島市小松字沖砂利前８番地５,,
38,第 7 投票区（小松地区コミュニティ供用施設）,住宅ブロック塀,東松島市小松字塚田１３３番地２,,
39,第 7 投票区（小松地区コミュニティ供用施設）,手招集会所南側フェンス,東松島市小松字堰の内２,,
40,第 8 投票区（東松島市農村婦人の家）,住宅ブロック塀,東松島市小松字沖砂利前４０９番地,,
41,第 8 投票区（東松島市農村婦人の家）,ＪＡ青果物出荷センターフェンス             ,東松島市小松字中砂利田１番地１,,
42,第 8 投票区（東松島市農村婦人の家）,市営五味倉住宅フェンス             ,東松島市大曲字前畑５７番地２,,
43,第 8 投票区（東松島市農村婦人の家）,住宅ブロック塀,東松島市大曲字前畑８１番地７,,
44,第 8 投票区（東松島市農村婦人の家）,農村婦人の家（谷地分館）フェンス         ,東松島市小松字中砂利田２９番地２,,
45,第 9 投票区（大曲地区コミュニティ供用施設）,大曲地区コミュニティ供用施設フェンス,東松島市大曲字筒場６５番地１,,
46,第 9 投票区（大曲地区コミュニティ供用施設）,住宅ブロック塀,東松島市大曲字筒場６６番地１,,
47,第 9 投票区（大曲地区コミュニティ供用施設）,住宅フェンス,東松島市大曲字堺堀１２４番地,,
48,第 9 投票区（大曲地区コミュニティ供用施設）,住宅ブロック塀,東松島市大曲字筒場８６番地１,,
49,第 9 投票区（大曲地区コミュニティ供用施設）,東北パイプターン工業株式会社資材置場フェンス（(有)北村運輸本社営業所前）     ,東松島市大曲字堰の内南３０番地９８,,
50,第 9 投票区（大曲地区コミュニティ供用施設）,大野電子開発㈱フェンス         ,東松島市大曲字堰の内南３０番地３９,,
51,第 10 投票区（横沼地区コミュニティ供用施設）,住宅ブロック塀,東松島市大曲字寺沼１８番地２,,
52,第 10 投票区（横沼地区コミュニティ供用施設）,東松島市立大曲小学校入口フェンス         ,東松島市大曲字寺前５番地２,,
53,第 10 投票区（横沼地区コミュニティ供用施設）,横沼コミュニティ供用施設東側フェンス           ,東松島市大曲字堺堀１９５番地４,,
54,第 10 投票区（横沼地区コミュニティ供用施設）,ミニ公園№25フェンス,東松島市大曲字堺堀１３５番地３７,,
