投票区,投票所施設名,設置場所,所在地番,地図リンク,緯度,経度
第21投票区,鷲別小学校,楡の木公園横,栄町1丁目4番地1,"https://mapfan.com/map?c=42.36579911837674,141.05864266973066,18&s=std,pc,ja",42.36579911837674,141.05864266973066
第21投票区,鷲別小学校,旧栄町保育所前,栄町2丁目6番地6,"https://mapfan.com/map?c=42.36767780901894,141.06091986518416,18&s=std,pc,ja",42.36767780901894,141.06091986518416
第22投票区,若草小学校,若草1号公園,若草町3丁目,"https://mapfan.com/map?c=42.36737485498364,141.0511838285399,18&s=std,pc,ja",42.36737485498364,141.0511838285399
第22投票区,若草小学校,みその園前,美園町2丁目4番地13,"https://mapfan.com/map?c=42.3623087488989,141.04589819107304,18&s=std,pc,ja",42.3623087488989,141.04589819107304
第22投票区,若草小学校,若草小学校前,若草町1丁目1番地2,"https://mapfan.com/map?c=42.36527555458554,141.0500604631029,18&s=std,pc,ja",42.36527555458554,141.0500604631029
第24投票区,こぶしの家,こぶしの家前,柏木町4丁目24番地42,"https://mapfan.com/map?c=42.421182744789604,141.09684864824737,18&s=std,pc,ja",42.421182744789604,141.09684864824737
第24投票区,こぶしの家,柏木団地5号棟横,柏木町1丁目22番地1,"https://mapfan.com/map?c=42.41677037647463,141.09974353115396,18&s=std,pc,ja",42.41677037647463,141.09974353115396
第24投票区,こぶしの家,もみじ公園前,柏木町1丁目36番地41,"https://mapfan.com/map?c=42.41988602852504,141.0959884385333,18&s=std,pc,ja",42.41988602852504,141.0959884385333
第25投票区,若草つどいセンター,めばえ公園前,若草町4丁目4番地,"https://mapfan.com/map?c=42.370113157834425,141.05376776956842,18&s=std,pc,ja",42.370113157834425,141.05376776956842
第25投票区,若草つどいセンター,若草つどいセンター前,若草町4丁目21番地1,"https://mapfan.com/map?c=42.37189462218569,141.05687913202567,18&s=std,pc,ja",42.37189462218569,141.05687913202567
第25投票区,若草つどいセンター,めぐみ公園横,若草町2丁目32番地,"https://mapfan.com/map?c=42.37229501453339,141.06094289615956,18&s=std,pc,ja",42.37229501453339,141.06094289615956
第26投票区,美園児童センター,美園児童センター横,美園町5丁目36番地4,"https://mapfan.com/map?c=42.36865735862861,141.03896542051734,18&s=std,pc,ja",42.36865735862861,141.03896542051734
第26投票区,美園児童センター,美園5丁目広場,美園町5丁目10番地6,"https://mapfan.com/map?c=42.36622974606291,141.0406712475546,18&s=std,pc,ja",42.36622974606291,141.0406712475546
第27投票区,千代の台集会所,新生虹の家前,新生町1丁目13番地21,"https://mapfan.com/map?c=42.37409106578616,141.06439753841974,18&s=std,pc,ja",42.37409106578616,141.06439753841974
第27投票区,千代の台集会所,ことぶき公園前,新生町1丁目24番地,"https://mapfan.com/map?c=42.37589809305413,141.064741432875,18&s=std,pc,ja",42.37589809305413,141.064741432875
第27投票区,千代の台集会所,もみの木こども園前,新生町3丁目13番地1,"https://mapfan.com/map?c=42.37566475250327,141.06067331611223,18&s=std,pc,ja",42.37566475250327,141.06067331611223
第27投票区,千代の台集会所,希望の家下,新生町5丁目23番地21,"https://mapfan.com/map?c=42.37657423585949,141.05848463355605,18&s=std,pc,ja",42.37657423585949,141.05848463355605
第28投票区,すずらんの家,すずらんの家,幸町5丁目27番地4,"https://mapfan.com/map?c=42.435245347274986,141.14047248895343,18&s=std,pc,ja",42.435245347274986,141.14047248895343
第29投票区,若山の家,若山営業所駐車場横,若山町2丁目38番地3,"https://mapfan.com/map?c=42.38966026598581,141.0770163404517,18&s=std,pc,ja",42.38966026598581,141.0770163404517
第29投票区,若山の家,アカシヤ団地入口,若山町1丁目15番地1,"https://mapfan.com/map?c=42.392428976599916,141.08442043102673,18&s=std,pc,ja",42.392428976599916,141.08442043102673
第29投票区,若山の家,和幸園前,大和町2丁目27番地17,"https://mapfan.com/map?c=42.38516548382154,141.07850280359938,18&s=std,pc,ja",42.38516548382154,141.07850280359938
第30投票区,桜木集会所,桜木公園前,桜木町4丁目1番地1,"https://mapfan.com/map?c=42.40506178780629,141.0866070794909,18&s=std,pc,ja",42.40506178780629,141.0866070794909
第30投票区,桜木集会所,桜木団地6号棟横,桜木町4丁目1番地1,"https://mapfan.com/map?c=42.406094810492306,141.08794480666756,18.304630360549776&s=std,pc,ja",42.406094810492306,141.08794480666756
