prefecture,city,kuwari,number,address,name,lat,long,note
東京都,千代田区,東京1区,4-5,四番町6番地,都営四番町第2アパート前,35.6890923,139.7357099,
東京都,千代田区,東京1区,4-6,九段南二丁目2番18号,九段坂公園,35.6945957,139.7481442,
東京都,千代田区,東京1区,4-7,九段北二丁目2番1号,九段中等教育学校（南側）－九段校舎,35.6961405,139.7472925,
東京都,千代田区,東京1区,4-8,九段北四丁目4番地主,外濠公園（市ケ谷プラザ前）,35.6925619,139.7374207,
東京都,千代田区,東京1区,5-1,飯田橋三丁目9番12号,千代田清掃事務所飯田橋車庫,35.7017969,139.7480656,
東京都,千代田区,東京1区,5-2,富士見一丁目1番6号,旧お茶の水小学校,35.697312,139.7489425,
東京都,千代田区,東京1区,5-3,富士見一丁目1番16号,富士見児童公園,35.6989281,139.7478858,
東京都,千代田区,東京1区,5-4,富士見一丁目6番7号,富士見出張所,35.6991129,139.7463718,
東京都,千代田区,東京1区,5-5,富士見一丁目2番5号,暁星学園西側フェンス (位置情報が見つかりませんでした),35.6969582,139.7482317,
東京都,千代田区,東京1区,5-6,富士見二丁目17番先,外濠公園（法政大学前）,35.6958207,139.7412526,
東京都,千代田区,東京1区,5-7,富士見二丁目10番先,外濠公園（飯田橋グランブルーム）,35.6991406,139.7438074,
東京都,千代田区,東京1区,5-8,富士見一丁目10番3号,富士見みらい館,35.6970065,139.7469112,
東京都,千代田区,東京1区,6-1,日比谷公園1番地5,日比谷公園（祝田橋側）,35.6723719,139.754036,
東京都,千代田区,東京1区,6-2,日比谷公園1番地5,日比谷公園（公会堂前）,35.6723719,139.754036,
東京都,千代田区,東京1区,6-3,日比谷公園1番地5,日比谷公園（霞門脇）,35.6723719,139.754036,
東京都,千代田区,東京1区,6-4,日比谷公園1番地5,日比谷公園（日比谷駅A10出口付近）,35.6723719,139.754036,
東京都,千代田区,東京1区,6-5,九段南一丁目2番1号,千代田区役所前,35.6939726,139.7536284,
東京都,千代田区,東京1区,6-6,九段北一丁目1番1号,祖橋児童遊園,35.6958899,139.752491,
東京都,千代田区,東京1区,6-7,九段北一丁目6番9号,堀留南児童遊園,35.6977952,139.7521062,
東京都,千代田区,東京1区,7-1,神田三崎町三丁目3番23号,ニチレイ水道橋ビル前,35.7002714,139.7523027,
東京都,千代田区,東京1区,7-2,西神田一丁目1番12号,カトリック神田教会,35.6994173,139.7573941,
東京都,千代田区,東京1区,7-3,神田神保町二丁目40番地,神保町ひまわり館,35.6977177,139.755343,
